FID,Bus_Stop_N,Bus_Route_,Bus_Route1,Ward,Zone
0,Ajanta Society,"Station To Axar Aparatment,  Station To Gokul Nagar,Station To Jalaram Nagar, Station To Laxmipura(Raliadba Nagar)","24A,27,29,30",10,West
1,"Alkapuri Board,Fedration Building","Station To Axar Aparatment, Station To undera Circle-Panchvati, Station To Gokul Nagar, Station To Jalaram Nagar, Station To Laxmipura(Raliadba Nagar), Station To Karodiya","24A,25,27,29,30,31",10,West
2,Ankasha Duplex,Station To Axar Aparatment,24A,11,West
3,Axar Apartment,Station To Axar Aparatment,24A,11,West
4,Ellora Park,"Station To Axar Aparatment, Station To Laxmipura(Raliadba Nagar)","24A,30",10,West
5,Express Hotel,"Station To Axar Aparatment, Station To undera Circle-Panchvati,  Station To Gokul Nagar,Station To Jalaram Nagar, Station To Laxmipura(Raliadba Nagar), Station To Karodiya","24A,25,27,29,30,31",10,West
6,Ganga Jamuna,"Station To Axar Aparatment, Station To Laxmipura(Raliadba Nagar)","24A,30",10,West
7,Gorwa workshop,"Station To Axar Aparatment, Station To Laxmipura(Raliadba Nagar)","24A,30",10,West
8,Racecourse Circle,"Station To Axar Aparatment, Station To undera Circle-Panchvati,  Station To Gokul Nagar,Station To Jalaram Nagar, Station To Laxmipura(Raliadba Nagar), Station To Karodiya","24A,25,27,29,30,31",10,West
9,S T Office,"Station To Axar Aparatment,  Station To Gokul Nagar, Station To Jalaram Nagar, Station To Laxmipura(Raliadba Nagar)","24A,27,29,30",10,West
10,Station,"Station To Daboi Bypass, Station To Mandavi Vai Tower, Station to Vadsar-GIDC, Station To Vadsar GIDC, Station To Tarsali, Station To Ravi Park-Tarsali Gam, Station To Maneja, Station To Darjipura, Station To Sama, Station To Danteshwar, Station To Bhaya","9D,1,10,10A,11,11C-D,12,15A,18,20,23,24A,25,27,29,3,30,31,3D,4,4D,9A",7,North
11,Sunmilan Society,"Station To Axar Aparatment, Station To Laxmipura(Raliadba Nagar)","24A,30",10,West
